Channel Name
"US (ESPN+ 049) | Siena vs. Iona Jan 02 7:00PM ET (2026-01-02 19:01:20)"
"US (ESPN+ 050) | Simon Fraser Univ vs. Massachusetts (Exhibition) Jan 02 7:00PM ET (2026-01-02 19:01:25)"
"US (ESPN+ 051) | Cleveland State vs. Green Bay Jan 02 7:00PM ET (2026-01-02 19:01:30)"
"US (ESPN+ 052) | Western Kentucky vs. Jacksonville State Jan 02 7:30PM ET (2026-01-02 19:30:00)"
"US (ESPN+ 053) | Louisiana Tech vs. Middle Tennessee Jan 02 7:30PM ET (2026-01-02 19:30:05)"
"US (ESPN+ 054) | Sam Houston vs. Louisiana Tech Jan 02 7:30PM ET (2026-01-02 19:30:10)"
"US (ESPN+ 055) | UTEP vs. Missouri State Jan 02 8:00PM ET (2026-01-02 20:00:00)"
"US (ESPN+ 056) | Halifax Thunderbirds vs. Saskatchewan Rush Jan 02 8:00PM ET (2026-01-02 20:00:05)"
"US (ESPN+ 057) | Liberty vs. New Mexico State Jan 02 8:00PM ET (2026-01-02 20:00:10)"
"US (ESPN+ 058) | Illinois State vs. Murray State Jan 02 8:00PM ET (2026-01-02 20:00:15)"
"US (ESPN+ 059) | AutoZone Liberty Bowl Trophy Presentation (Trophy Presentation) Jan 02 8:00PM ET (2026-01-02 20:00:20)"
"US (ESPN+ 060) | ACL Myrtle Beach Signature (College Championships) Jan 02 8:30PM ET (2026-01-02 20:30:00)"
"US (ESPN+ 061) | Saint Mary`s vs. Pepperdine Jan 02 9:00PM ET (2026-01-02 21:00:00)"
"US (ESPN+ 062) | Pacific vs. Oregon State Jan 02 9:00PM ET (2026-01-02 21:00:05)"
"US (ESPN+ 063) | Washington State vs. Portland Jan 02 9:00PM ET (2026-01-02 21:00:10)"
"US (ESPN+ 064) | Santa Clara vs. Loyola Marymount Jan 02 9:00PM ET (2026-01-02 21:00:15)"
"US (ESPN+ 065) | Gonzaga vs. Seattle U Jan 02 9:00PM ET (2026-01-02 21:00:20)"
